Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
10-08-2022;00:00:00;10-08-2022;00:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,037;kWh;Uitgelezen;
10-08-2022;00:00:00;10-08-2022;00:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;00:15:00;10-08-2022;00:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,038;kWh;Uitgelezen;
10-08-2022;00:15:00;10-08-2022;00:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;00:30:00;10-08-2022;00:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,043;kWh;Uitgelezen;
10-08-2022;00:30:00;10-08-2022;00:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;00:45:00;10-08-2022;01:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,045;kWh;Uitgelezen;
10-08-2022;00:45:00;10-08-2022;01:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;01:00:00;10-08-2022;01:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,078;kWh;Uitgelezen;
10-08-2022;01:00:00;10-08-2022;01:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;01:15:00;10-08-2022;01:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,079;kWh;Uitgelezen;
10-08-2022;01:15:00;10-08-2022;01:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;01:30:00;10-08-2022;01:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,070;kWh;Uitgelezen;
10-08-2022;01:30:00;10-08-2022;01:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;01:45:00;10-08-2022;02:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,054;kWh;Uitgelezen;
10-08-2022;01:45:00;10-08-2022;02:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;02:00:00;10-08-2022;02:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,040;kWh;Uitgelezen;
10-08-2022;02:00:00;10-08-2022;02:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;02:15:00;10-08-2022;02:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,043;kWh;Uitgelezen;
10-08-2022;02:15:00;10-08-2022;02:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;02:30:00;10-08-2022;02:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,045;kWh;Uitgelezen;
10-08-2022;02:30:00;10-08-2022;02:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;02:45:00;10-08-2022;03:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,043;kWh;Uitgelezen;
10-08-2022;02:45:00;10-08-2022;03:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;03:00:00;10-08-2022;03:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,063;kWh;Uitgelezen;
10-08-2022;03:00:00;10-08-2022;03:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;03:15:00;10-08-2022;03:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,073;kWh;Uitgelezen;
10-08-2022;03:15:00;10-08-2022;03:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;03:30:00;10-08-2022;03:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,071;kWh;Uitgelezen;
10-08-2022;03:30:00;10-08-2022;03:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;03:45:00;10-08-2022;04:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,061;kWh;Uitgelezen;
10-08-2022;03:45:00;10-08-2022;04:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;04:00:00;10-08-2022;04:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,048;kWh;Uitgelezen;
10-08-2022;04:00:00;10-08-2022;04:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;04:15:00;10-08-2022;04:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,044;kWh;Uitgelezen;
10-08-2022;04:15:00;10-08-2022;04:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;04:30:00;10-08-2022;04:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,043;kWh;Uitgelezen;
10-08-2022;04:30:00;10-08-2022;04:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;04:45:00;10-08-2022;05:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,036;kWh;Uitgelezen;
10-08-2022;04:45:00;10-08-2022;05:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;05:00:00;10-08-2022;05:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,047;kWh;Uitgelezen;
10-08-2022;05:00:00;10-08-2022;05:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;05:15:00;10-08-2022;05:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,081;kWh;Uitgelezen;
10-08-2022;05:15:00;10-08-2022;05:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
10-08-2022;05:30:00;10-08-2022;05:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,077;kWh;Uitgelezen;
10-08-2022;05:30:00;10-08-2022;05:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
