Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Calorische bovenwaarde;Omschrijving
14-04-2023;06:00:00;14-04-2023;07:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,754;m³;Uitgelezen;;
14-04-2023;06:00:00;14-04-2023;07:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;8,591;kWh;Uitgelezen;Definitief;
14-04-2023;07:00:00;14-04-2023;08:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,054;m³;Uitgelezen;;
14-04-2023;07:00:00;14-04-2023;08:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,615;kWh;Uitgelezen;Definitief;
14-04-2023;08:00:00;14-04-2023;09:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,052;m³;Uitgelezen;;
14-04-2023;08:00:00;14-04-2023;09:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,592;kWh;Uitgelezen;Definitief;
14-04-2023;09:00:00;14-04-2023;10:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,015;m³;Uitgelezen;;
14-04-2023;09:00:00;14-04-2023;10:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,171;kWh;Uitgelezen;Definitief;
14-04-2023;10:00:00;14-04-2023;11:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
14-04-2023;10:00:00;14-04-2023;11:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
14-04-2023;11:00:00;14-04-2023;12:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
14-04-2023;11:00:00;14-04-2023;12:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
14-04-2023;12:00:00;14-04-2023;13:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
14-04-2023;12:00:00;14-04-2023;13:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
14-04-2023;13:00:00;14-04-2023;14:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
